Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-15T22:42:00Z,BTCUSDT,39734.99,0.02311521,Stop Limit,Filled,918.4826382,Stop Market 
2022-03-16T03:28:00Z,BTCUSDT,39723.75,-0.02278232,Market,Filled,-904.9991841, 
2022-03-16T03:28:00Z,BTCUSDT,39008.72,0.02278232,Limit,Filled,888.7091418,Top Profit Limit 
2022-03-16T03:28:00Z,BTCUSDT,0,0.02278232,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T03:41:00.0000000Z 
2022-03-16T06:14:00Z,BTCUSDT,39383.27,0.02338283,Market,Filled,920.8923073, 
2022-03-16T06:14:00Z,BTCUSDT,40092.17,-0.02337347,Limit,Filled,-937.0931327,Top Profit Limit 
2022-03-16T06:14:00Z,BTCUSDT,0,-0.02337347,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T08:39:00.0000000Z 
2022-03-16T12:57:00Z,BTCUSDT,40431.34,-0.02315014,Market,Filled,-935.9911814, 
2022-03-16T12:57:00Z,BTCUSDT,0,0.02315014,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T14:03:00.0000000Z 
2022-03-16T12:57:00Z,BTCUSDT,40714.36,0.02315014,Stop Limit,Filled,942.543134,Stop Market 
2022-03-16T15:51:00Z,BTCUSDT,40591.21,-0.02288049,Market,Filled,-928.7467745, 
2022-03-16T15:51:00Z,BTCUSDT,39860.57,0.02288049,Limit,Filled,912.0293733,Top Profit Limit 
2022-03-16T15:51:00Z,BTCUSDT,0,0.02288049,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T18:01:00.0000000Z 
2022-03-16T19:23:00Z,BTCUSDT,40544.77,0.02330607,Market,Filled,944.9392478, 
2022-03-16T19:23:00Z,BTCUSDT,41274.58,-0.02329674,Limit,Filled,-961.5631589,Top Profit Limit 
2022-03-16T19:23:00Z,BTCUSDT,0,-0.02329674,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T20:12:00.0000000Z 
